STT,Animation,Type,Keywords,CSS Keyframes,Tailwind Config,Duration,Easing,Best For,Notes
30,Float,Ambient,"float, hover","@keyframes float { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-10px); } }","animate-float","3-4s","ease-in-out",Hero elements,Subtle movement
31,Sway,Ambient,"sway, gentle","@keyframes sway { 0%, 100% { transform: rotate(-2deg); } 50% { transform: rotate(2deg); } }","animate-sway","4-6s","ease-in-out",Decorative,Plants icons
32,Breathe,Ambient,"breathe, scale","@keyframes breathe { 0%, 100% { transform: scale(1); } 50% { transform: scale(1.03); } }","animate-breathe","4-6s","ease-in-out",Calm UI,Wellness apps
33,Glow Pulse,Ambient,"glow, pulse","@keyframes glowPulse { 0%, 100% { box-shadow: 0 0 5px rgba(139,92,246,0.3); } 50% { box-shadow: 0 0 20px rgba(139,92,246,0.6); } }","animate-glow-pulse","2-3s","ease-in-out",Active states,Neon themes
34,Gradient Flow,Ambient,"gradient, flow","@keyframes gradientFlow { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }","animate-gradient","10-15s","ease",Backgrounds,Slow movement
35,Shimmer,Ambient,"shimmer, shine","@keyframes shimmer { 0% { background-position: -200% 0; } 100% { background-position: 200% 0; } }","animate-shimmer","1.5-2s","linear",Skeletons,Loading shine
36,Typewriter,Text,"typing, cursor","@keyframes typewriter { from { width: 0; } to { width: 100%; } }","animate-typewriter","2-4s","steps(N)",Hero text,Set N to char count
37,Reveal Text,Text,"reveal, mask","@keyframes revealText { from { clip-path: inset(0 100% 0 0); } to { clip-path: inset(0 0 0 0); } }","animate-reveal","0.8-1.2s","ease-out",Headlines,Left to right
38,Blur In,Text,"blur, focus","@keyframes blurIn { from { filter: blur(10px); opacity: 0; } to { filter: blur(0); opacity: 1; } }","animate-blur-in","0.4-0.6s","ease-out",Hero text,Dramatic reveal
39,Letter Spacing,Text,"tracking, spread","@keyframes letterSpacing { from { letter-spacing: -0.5em; opacity: 0; } to { letter-spacing: normal; opacity: 1; } }","animate-letter-space","0.6-1s","ease-out",Headlines,Premium feel
40,Count Up,Text,"count, numbers","Use countUp.js or JS requestAnimationFrame","","0.5-2s","ease-out",Statistics,JS implementation
41,Morph Shape,Special,"morph, blob","@keyframes morph { 0%, 100% { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; } 50% { border-radius: 30% 60% 70% 40% / 50% 60% 30% 60%; } }","animate-morph","8-12s","ease-in-out",Background blobs,Abstract deco
42,Parallax,Special,"parallax, scroll","transform: translateY(calc(var(--scroll) * rate));","","scroll-based","linear",Hero layers,JS scroll tracking
43,Stagger,Special,"stagger, sequence","animation-delay: calc(var(--i) * 100ms);","","varies","ease-out",Lists grids,CSS variable index
44,Path Draw,Special,"path, svg, draw","@keyframes pathDraw { to { stroke-dashoffset: 0; } }","animate-draw","1-3s","ease-out",Icons logos,SVG stroke
45,Confetti,Special,"confetti, celebration","Complex keyframes with random transforms","","1-2s","ease-out",Success,Use library
46,Sticky Parallax,Scroll,"sticky, parallax","position: sticky; top: 0;","sticky top-0 h-screen",Scroll-driven,Framer classic pattern
47,Marquee Scroll,Scroll,"marquee, ticker","animation: marquee 20s linear infinite;","animate-marquee",Continuous flow,Logo walls
48,Text Reveal Split,Text,"reveal, split","overflow: hidden; span { transform: translateY(100%); transition: transform 0.5s; }","group-hover:translate-y-0",Headlines,Letter by letter reveal
49,Image Reveal Mask,Image,"reveal, mask","clip-path: inset(0 100% 0 0); transition: clip-path 1s cubic-bezier(0.77, 0, 0.175, 1);","transition-[clip-path] duration-1000 ease-in-out",Gallery,Scroll trigger
50,Magnetic Button,Hover,"magnetic, attract","transform: translate(var(--mx), var(--my));","transition-transform duration-100 ease-linear",Buttons,Sticky cursor effect
51,Cursor Follower,Special,"cursor, follower","position: fixed; pointer-events: none; transform: translate(-50%, -50%);","fixed w-8 h-8 rounded-full border border-black",Interactive,Custom cursor
52,Scroll Progress Line,Scroll,"progress, reading","width: var(--scroll-percent);","fixed top-0 left-0 h-1 bg-primary z-50",Blog posts,Reading indicator
53,Card 3D Tilt,Hover,"tilt, 3d","transform: perspective(1000px) rotateX(var(--rx)) rotateY(var(--ry));","transition-transform duration-300 ease-out",Feature Cards,Mouse tracking
54,Stack Cards,Scroll,"stack, cards","position: sticky; top: var(--top);","sticky top-[10vh]",Portfolio,Framer stack effect
55,Video Reveal,Scroll,"video, expand","width: var(--width); border-radius: var(--radius);","w-full transition-all duration-700",Hero Section,Scroll to expand
